title,price,paper_price,isbn,rating,page,publisher
پروژه شادی,15000,30000,9786005941555,3.75,392,نشر آموت
نامه به کودکی که هرگز زاده نشد,6000,12000,9786009394029,4.1,128,انتشارات مجید
مردان مریخی و زنان ونوسی,15000,30000,9786006774138,4.16,336,نشر شبگیر
شفای زندگی,7000,16000,9786005462357,4.7,272,نشر معیار اندیشه
هری‌پاتر و سنگ جادو,15000,21000,9645757029,4.61,352,انتشارات کتابسرای تندیس
میوه‌ خارجی,12000,39000,9786003840256,3.89,624,نشر آموت
کلیدر,12500,nan,9789648637601,4.49,754,انتشارات فرهنگ معاصر
دیوانگان ثروت‌ساز,9000,25000,9786007049753,4.33,356,انتشارات نگاه نوین
دروغ‌های کوچک بزرگ,10000,34000,9786003840416,3.53,448,نشر آموت
آسان‌ترین روش ترک سیگار,6000,12000,9789643741563,4.43,287,نشر روزگار
انسان موجودی یکروزه و قصه های دیگری از روان درمانی,11000,16000,9786002782328,4.28,272,گروه انتشاراتی ققنوس
زندگی در پیش رو,10000,25000,9789643809508,4.65,235,نشر ثالث
پدر ثروتمند، پدر فقیر,9600,24000,9786005361032,4.35,316,هورمزد
بادبادک باز,9000,225000,9789644482977,4.7,368,نشر نیلوفر
زندگی نزیسته‌ات را زندگی کن,6900,nan,nan,3.45,220,ناشرمولف
نفرتی که تو می‌کاری,10000,32000,9786008740117,4.5,400,نشر نون
تو نمی‌توانی روزم را خراب کنی,16000,30000,9786003400733,4.16,312,انتشارات لیوسا
ایران بین دو انقلاب,21600,36000,9789643123635,4.54,709,نشر نی
اتاق,12750,25500,9786005941722,4.15,360,نشر آموت
سرگذشت ندیمه,19000,38000,9643114198,4.21,463,گروه انتشاراتی ققنوس
شهر خرس,15000,36000,9786008740087,4.83,416,نشر نون
خداحافظ گاری کوپر,10000,18500,9789644481420,4.06,288,نشر نیلوفر
نیروی حال,8000,16000,9786005219463,4.52,352,ذهن‌آویز
جنگ و صلح,23000,50000,9789644480263,3.83,744,نشر نیلوفر
۱۹۸۴,8750,17500,9789644530647,4.39,288,انتشارات مجید
مرشد و مارگاریتا,15900,49000,9786007987278,4.4,624,انتشارات مجید
متفکران بزرگ,7500,nan,nan,4.04,339,ناشرمولف
زبان بدن,7200,18000,9786006958323,3.92,331,هورمزد
صوتی ملت عشق,20000,nan,nan,3.88,,آوانامه
پیش از آن‌که بخوابم,12000,27500,9786006605135,4.05,472,نشر آموت
ترک آسان سیگار به روش آلن کار,7500,15000,9786009489688,4.54,268,انتشارات کتیبه پارسی
چگونه عشق خود را پیدا کنیم؟,4900,nan,nan,3.78,0,ناشرمولف
مسئله‌ی اسپینوزا,19900,45000,9786001199004,4.38,480,نشر قطره
ماشین‌تحریر عجیب,9000,nan,9786008740209,4.32,416,نشر نون
دایی‌جان ناپلئون,16000,38000,9786001051197,4.31,696,انتشارات فرهنگ معاصر
کوری,10800,27000,9789644531002,4.16,392,انتشارات مجید
مادرم دو بار مرد,19000,38000,9786007299470,4.2,477,رهی
روح پراگ,14400,24000,9789641850359,4.2,229,نشر نی
معجزه,13000,25000,9786003400061,4.01,256,انتشارات لیوسا
هرس,10200,17000,9786002298263,4.26,185,نشر چشمه
شازده کوچولو,5700,9500,9789644481321,4.6,117,نشر نیلوفر
از سرد و گرم روزگار,13200,22000,9789641855200,4.18,285,نشر نی
